Comment_Id,Product_Id,Comment_Content,Comment_Evaluation
6244,266,cok guzel yaaaa,5
11562,523,Çok beğendik kaliteli güzel bi kumaşı var,5
30665,1602,Çok güzel 👍🏻,5
23735,1202,"Hızlı teslimat.Yumuşacık,rahat ve bol gömlek",5
35448,2177,hiç guzel degil,1
17015,823,Beğendim güzeldi. Pantolon içine sokunca güzel duruyor,5
25589,1303,guzel bi kot kendi bedeninizi alabilirsiniz,5
37749,2606,Çok kötü bir kalıbı var,1
10111,456,"Çok kaliteli, renkler falan çok güzel. Tam bedeninizi alabilirsiniz..",5
23203,1175,sevgilime almıştım çok güzel🤗🤗,5
30103,1574,Resimdeki renk değil fuşya. ama çok güzel :),5
3726,153,rengi çok pembe,2
4892,206,Gayet guzel ama bence bir beden kucuk tercih edilebilir,5
35950,2267,Ön kısmı bol olduğu İçin iade ediyorum yoksa dokusu güzeldi,4
3023,120,tam bedeninize göre alabilirsiniz çok ve güzel kaliteli,5
40822,3215,"Çok ince kumaşı, pek kaliteli durmuyor",1
27593,1440,Güzel bir elbise. Tam beden alınmalı,5
20744,1042,çok güzel renk doku harika,5
33635,1830,Çok güzel yumuşak rahatsız etmeyen bir urun sadece arka kısmı bedenine gore dar ekle hallolur,4
19807,981,Harika oldu teşekkürler,5
20321,1015,Tam beden guzel,5
37408,2539,Şık bir ceket alınabılır,4
5529,238,rahat kalip guzel paketleme,5
15384,731,Güzel ve kaliteli,5
29954,1566,Bu ürünü çok seviyorum arkası geniş ve çok iyi topluyor emziren anne olarak tercihim 💓,5
9766,440,Çok güzel rengine bayıldım,5
22641,1142,şahane çok güzel,5
5235,222,rengi çok güzel kardesime aldım,5
7142,309,Mavi kalitesi 👍🏻,5
20396,1019,1 beden küçük alınabilir.,5
37916,2639,yumuşacık ve kaliteli peluşu var. Beğenerek kullanıyorum tavsiye ederim.,4
7939,345,"Harika tam üzerime oldu teşekkürler 1,75 boy 70 kg S beden",5
28449,1486,Rengi dokusu çok güzel çok sevdimm. 1.65 boyunda 50 kiloyum xs tam oldu💘,4
36223,2325,Hoş durmadı,1
10255,461,her rengini aldık severek giyiyor erkek arkadaşım,5
10902,487,Çok güzel bir beden yada 2 beden daha küçük alın,5
11659,530,"L aldım 59 kiloyum, bedenimi tamamen sardı. Fiyatına göre güzel",5
28535,1493,cok guzel cok rahat güzel,5
36562,2395,Kalibi cok kucuk.,3
18185,894,Bir beden büyük alınmalı onun dışında güzel,5
33331,1758,xs si bile çok büyük ona göre alın,2
18041,886,gayet guzel,4
20713,1041,güzel kaliteli,4
32970,1739,çok beğendim 67 kilo L beden aldım tam oldu,5
9516,425,kalitesi çok güzel toparlama özelliği var,5
8194,360,"eşime hediye olarak aldım, çok beğendi. mavi kalitesi 👍 tam bedeni almanizi tavsiye ederim. hızlı teslimat, teşekkürler Trendyol.",5
39122,2874,Ürün çok güzel tam beden alabilirsiniz büyük olduğu için iade ettim ben küçük bedenini alıcam,4
13835,645,Mavi harika hediye aldım çok beğenildi.,5
43083,3773,arka detayı hoş durmuyor geniş omuzlu uzun boylu olmak gerekiyor,1
7293,316,çok şık ve rahat 🪷,5
34324,1962,Simleri dökülüyor ancak çok şık bir ürün,4
13604,634,Çok güzel tam beden alın,4
6669,288,kurtarıcı parça,5
5226,222,Cok cabuk kargolandi. Capcanli bir yesil tonu. Normalde L giyerim bu tshirtte XL daha iyi oldu yorumlara gore almisim iyi ki. Canli renk severler tercih edebilir.,5
26464,1352,"incecik tam yazlik,keske fiyat etiketini sökseydiniz ustundeki fiyattan 30 lira pahali almis olmak üzdü beni 😂",5
33601,1819,Kumaşı çok güzeldi.,3
1415,51,Mavi kalitesi. Sürekli tercih ettiğimiz bir ürün.,5
18325,899,Ürün çok şık ve zarif.Fakat ebatı büyük.Daralttirmam gerekecek.1.70-53 kiloyum.,4
7871,342,güzelllllll,5
10823,484,indirimdeyken aldım. Çok memnunum teşekürler,5
25982,1325,mükemmel tam beden alın,5
19002,940,Erkek arkadaşım için aldım ikimizde çok beğendik çok güzel bir gömlek,5
10075,454,Kumaşı gayet tok ve kaliteli.Beğendim🤞🏻,5
21487,1079,Çok güzel çok şık gerçekten. Benim kilom 62 boy 170 L beden tam bel hizamda oldu alacaklara duyurulur,5
2554,99,Çok kaliteli beklediğim gibi geldi beden tam kalıp 👌,5
9004,396,kumaşı kaliteli ama aşırı bol uzun 90 kg 172 bol m çok büyük geldi.,3
8665,382,Boy 1.77 kilo 78 midium beden aldım tam oldu ürün gayet güzel almak isteyen arkadaşlara tavsiye ederim.,5
20898,1048,L beden sipariş vermiştim m de olurmuş. çok yumuşak ama rengi siyah değil sanki eskimiş pamuklanmis gibi. Yazık mağazada görüp almazdım kesinlikle,2
29280,1534,20 günde geliyor,1
8512,374,kargo çok hızlı teşekkür ederim kendi bedenimi aldim fakat ürün bol geldi sanırım kalibi büyük bir beden küçük alınabilir iade ediyorum malesef,4
21260,1065,cokta kısa degil ideal bir boyutta ve assiri rahat bi yapisi var cok begendim diger renklerinden de aldim,5
29327,1536,İçini gösteriyor çok kalitesiz ve dar kalıplı,1
40655,3176,evde giyerim diye aldım. Benim için evde rahatlık önemli pamuklu yumuşacık. tam beden sayılır salaş giyilecek bisey ama dar gitmek isteyen 1 2 beden küçük alsın,3
32140,1690,tam beden alinabir kurtarıcı,5
12098,556,Mikemmel bayıldım,5
37365,2529,Güzel gömlek ama dökümlü sevenler bir büyük alabilir,4
25640,1306,urun gorundugu gibi geldi 1.60 boy 60 kilo olarak m beden istedigim gibi oldu,5
43279,3837,çok kötü bir kuruş bile hak etmiyor omuz kısımları felaket kötü duruyor paranıza yazık almayın,1
1732,65,Göründüğü gibi güzel,5
17294,844,Çok güzel ürün. Hızlı kargo gerçekten imkansıza yakın,5
15128,717,fiyatına göre çok çok kaliteli bir ürün ve çok şık duruyor,5
18855,930,tişört gayet güzel ama kalıp olarak fit yazmasına ragmen büyük iade edecegim,4
12928,600,pantolon kaliteli ve guzel alinir,4
35631,2210,Omuz kısımları pot durduğu için iade ettim.,1
12945,600,çok beyendim çok kaliteli,5
16876,817,Mükemmel ürün,5
4553,193,Muhteşem bir ürün teşekkür ediyorum,5
8925,393,Penyesi güzel değil beğenmedim.,2
26195,1341,biraz daha yüksel bel olsa daha çok hoşuma giderdi. genel olarak duruşu güzel bir pantolon ama bedeni bi tık büyük,5
2102,79,Rengi fotoğraftaki gibi geldi çok güzel tam beden alabilirsiniz,4
14900,704,bence hangi beden giyiyorsaniz bı beden büyük sipariş verin,2
33238,1753,kollarında bir potluk var terzi gerekebilir,4
5179,220,Tişörtte bi koku var çıkmıyor,2
29095,1522,şık ve rahat,5
26349,1347,güzel ürün eşime aldım.cok yakıştı,5
3875,162,urun gorseldeki gibi geldi,5
22278,1119,13 yasindaki kizima aldim bol oldu ama tisort kaliteli guzel,3
20173,1004,Resimdeki gibi oldu,5
33147,1749,Kalitesine diyecek yok paketleme daha özenli olabilirdi ayrıca bedeninizi alın diyenleri anlamıyorum bildiğin 1 beden küçük bence 1 beden büyük tercih edilmeli,5
31971,1680,cok guzel🤗tesekkurler,5
16728,805,Çok rahat alın bence rengi de güzel,5
27563,1438,Kumaşı rahatsız biraz,4
3772,155,Tam oldu 1.54 46kg s,5
24195,1226,Ürün görseldeki gibi gelmedi çok berbat bir ürün hiç memnun kalmadım,1
37240,2506,Kalıbı diğer hummel tişörtlere göre daha bol ama kumaşı gayet güzel,3
22399,1127,çokkkk güzellll,5
12857,595,Çok beyendim kaliteli ve güzel 👍🏻,5
22814,1152,Ürün güzel. 178 boy 73 kilo L aldım güzel oldu,5
35632,2210,Çok ince ancak bahar aylarında giyilebilir,4
1711,63,Buradan mavi ekibine sesleniyorum markanızı loğonuzu taşıdığım için bana para ödemeniz gerekiyor sizi seviyorum gayet güzel ve şık 🥰🥰,5
12198,561,Tam beden alabilir siniz,5
9219,406,çok güzel ama xs çok sıktı. esneme payı hiç yok m beden daha iyi olur bence,3
31387,1643,Kırmızı değil bu renk bildiğin turuncuyla arasında hiç beğenmedim,1
36342,2349,Rengi güzel ancak modeli iyi durmadı .İade edeceğim.,1
30560,1595,çok güzel bir ürün,5
35004,2089,omuzları çok geniş durdu bende.,4
37325,2521,Kumaşı cok kalitesiz,1
40836,3218,Söküğü vardı Fiyatı uygun diye iade etmedim,1
6578,283,Mavi işte bu ürüne kötü mü diyeceksinn,5
12180,560,Gerçekten çok güzel vücudu tamamen saran bir pantolon. Rengi de çok güzel tam istediğim gibi. Boyum 160 52 kiloyum 25-27 aldım tam oldu,5
6813,294,"Çok hızlı kargolandı ve harika bir gecelik, yumuşacık ve ben bir beden büyük aldım üzerime yapışmaması için daja güzel oldu",5
19090,945,3 parça ürün aldım bu beyazdan 1 fazla yollamışlar. etiketlerinde 39₺ yazıyor burdan 49a aldığıma göre hak geçtiğini düşünmüyorum geri yollamıyorum:),5
7208,311,Ürün güzel ancak eşimin giydiği her zamanki bedeni almamıza rağmen çok dar geldi.,4
4036,168,Aşırı büyük kendi bedeninizden 2 beden küçük alırsanız anca o zaman normal bir bollukta durur,2
24954,1272,"Nişanlıma aldım gayet şık, tam beden alabilirsiniz",5
2551,99,Çok beğendim.,5
35597,2203,Cindy modelin başka bir rengini almıştım. Çok güzeldi fakat bu renkte aynı beden almama rağmen hemen kendisini saldı.Bacaklar bol bol duruyor.,3
2370,90,Kaliteli ve güzel,4
31994,1681,Çok beğenmedim ama günü kurtarıyor,3
10910,489,Evde giymek ıcın aldım ındırımden alın aldırın yazlık.,5
14912,704,Ürün güZel mavi kalitesi,5
34496,1989,iki yıkamada renki soldu.,1
30470,1591,kumaşı modeli harika 🥰,5
25648,1306,"Harika çok beğendim. Ben 95 kiloyum, xl aldım üzerime tam oturdu",5
2119,79,XXL olarak sipariş verdim ve çok memnun kaldım. çok kaliteli kumaşı var tasarımı da şık. Solup solmadıpını bilmiyorum yıkadıkça belli olacak ondada mavi yr gideriz. hızlı kargo içinde firmaya teşekkür ederim.,5
27586,1438,Hediye aldım kumaşı çok güzel,5
33117,1748,"Çok beyendim. Bi beden küçük aldım tam oldu, yoğun bi likrası var. Ayrıca 1 haftada elime ulaştı teşekkürler",4
12106,556,tam istediğim gibi oldu bir beden büyük aldım harika oldu teşekkürler 🌸,5
38416,2722,fena degil tam kalip yalniz kapsonu ve cepleri yagmurluk kumasindan bilginiz olsun.,3
16560,794,güzel ürün çok beğendim tavsiye olunur,5
25650,1306,çok sevdim,5
33115,1748,"Kalıbı duruşu harika.Boy:1,60 Kilo:59 26.26 beden tam oldu satan bollaşmayan harika bir jean.Rengi tam lacivert",5
22000,1106,"Əla, çox bəyəndim. 170boy 94 kiloya Xl tam oldu",5
20649,1036,Harika bir şort. 165 boy 53 kiloyum. 25 beden çok rahat oldu. mavi kalitesi yine belli etmiş kendini.. Kesinlikle tavsiye ederim.,5
29921,1564,kol altisi cok genis geldi nerdeyse her yer gozukuyo beyenmedim,1
33195,1751,"Kesim ve tişörtün dokusu güzel, merak etmeyin dızo tişörtü gibi durmuyor:d 1.84 boy 80 kilo M beden aldım gayet güzel dökümlü durdu. Normalde L giyerim. Süper tişört",5
21679,1091,Kumaş kalitesi de duruşu da çok güzel. Eşimde çok beğendi. Paketlemeside iyiydi teşekkürler,5
20535,1027,"50 kiloya 34 beden aldım tam oldu. Mağazada beğenmiştim, buradan daha uyguna aldım. Kumaşı kaliteli bence.",5
38687,2772,Kalitesiz duruyordu pek begenemedım:(,1
18880,932,rengi gayet güzel tama beden alabilirsiniz,5
2239,84,1.60 boy 49 kilo oversize sevdiğim için M beden aldım kalçamın altında bitti aşırı bol da olmadı L bile alabilirmişimm gayet güzel tişört,5
15800,756,Gayet kaliteli bir ürün,5
42189,3477,Çok tatlı ama ilk yıkamada solma yaptı,4
23617,1196,kaliteli güzel,5
42478,3556,kesinlikle tavsiye etmiyorum beli bile yamuk,3
843,31,kalitesi muhteşem rengine bayıldım eşiminde beğenerek giyecegine eminim teşekkürler Avva🥳,5
20574,1031,Çokk begendimmmmm aşırı güzel,5
5564,241,ürün harika tam bedeninizi alın tam oldu,5
13298,618,Abime doğum günü hediyesi aldık gayet güzel tam beden kalıp harika renk zaten efsane.Trendyol teşekkürler...,5
7365,320,Mavi kalitesi düşünmeden alın,5
41583,3368,ürün kalıp olarak çok büyük aslında kumasi yönünden kaliteli ancak kalıbı hangi bedende alırsanız alın büyü olacak çok hoş durmuyo o yüzden normalde oversize severim ama bunu sevemedim,3
41503,3352,Kumaşı simli ve naylon resmen. İade,1
22878,1156,kalitesi güzel ama keşke slim fit olsaydı. alt tarafı biraz geniş ona göre alın,4
30496,1592,Çok güzel baya sıcak tutuyor,5
2979,118,"eşime ve kendime aldım ikimizde severek kullanıyoruz, kalitesi çok güzel",5
26917,1374,yüksek bel değil normal bel değil ona göre alın,4
34418,1977,Güzel bir atlet,3
3398,140,Çok güzel kaliteli bir ürün,5
34860,2058,güzel ürün fakat yıkanınca bir beden küçülüyor ona göre tercih edebilirsiniz,4
16419,790,"Aynı gömleği hem abime hem nişanlıma aldım ve gerçekten mükemmel bir gömlek. Kumaşı dokusu çok iyi, kırışmayan bir yapısı var. Kesinlikle tavsiye ederim, tam beden alabilirsiniz.",5
11279,510,Cok güzel beğendim,5
714,26,arkadasima aldik cok beyendi,5
43251,3827,bambaşka bi ürün geldi urunde okadar iğrençki anlatamam renk farkli gelen ürünun kesimi farkli hemen iyade edicem bir daha trendyol kotondan asla sipariş vermem bir sürü mağzasından alişveriş yaptim ama kotondan aldığim hırkalar kadar kötü resimlerin tam tersi ürünler gelmemişti,1
9359,417,Harika bir jean çok güzel kalıbı var bayıldım teşekkürler mavi teşekkürler trendyol. Beden konusunda da 1.63 boy 50 kilo için 26/27 tam ideal oluyor.,5
42765,3658,Oversize kalıp olarak geçiyor ama asla oversize değil ve tişörtün boyu kısa ara boy en nefret ettiğim tişört boyu ❌❌❌,1
